City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
341,svay rieng,11.0879,105.7993,26.64,80,61,2.19,KH,1682285839
342,bandarbeyla,9.4942,50.8122,27.46,70,27,2.15,SO,1682285840
343,hakha,22.65,93.6167,13.5,75,6,0.73,MM,1682285840
344,mejit,10.2753,170.8646,27.27,81,51,9.75,MH,1682285841
345,rantauprapat,2.1,99.8333,23.62,95,99,0.96,ID,1682285842
346,funafuti,-8.5243,179.1942,32.0,74,40,1.03,TV,1682285843
347,trinity beach,-16.7888,145.6968,25.56,100,75,7.72,AU,1682285844
348,cove,7.221,2.3402,26.19,85,100,2.13,BJ,1682285817
349,malango,-2.9627,119.9001,19.11,97,86,0.91,ID,1682285847
350,ephraim,39.3597,-111.5863,15.45,27,75,2.23,US,1682285847
351,montepuez,-13.1256,38.9997,20.1,92,56,1.6,MZ,1682285848
352,tilcara,-23.5776,-65.3509,8.16,66,61,1.98,AR,1682285849
353,fort st. john,56.2499,-120.8529,5.94,81,100,4.63,CA,1682285850
354,solwezi,-12.1688,26.3894,18.27,86,100,1.78,ZM,1682285851
355,slave lake,55.2834,-114.769,13.99,30,75,7.72,CA,1682285852
356,vredendal,-31.6683,18.5012,19.22,79,100,0.62,ZA,1682285778
357,nelson bay,-32.7167,152.15,21.67,81,100,2.68,AU,1682285854
358,la'ie,21.6477,-157.9253,28.98,66,77,2.62,US,1682285854
359,palikir - national government center,6.9248,158.1611,25.41,94,100,2.06,FM,1682285855
